Date,RAY,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,EEM,VIX,label
10/30/17,-0.413655608,0.120425101,-0.12940522,0.082144156,0.19379263,0.692096432,-0.040875622,-0.091465933,0.729012117,-0.464309757,-1.001248938,1
10/31/17,0.124200128,0.242322306,-0.025678043,0.076438789,-0.265097133,-0.565146153,-0.456889139,-0.034011505,-0.072352303,0.670648372,-1.045314051,1
11/1/17,0.014537083,-0.08726619,-0.071953837,-0.007056984,0.972362239,0.506703037,1.396074764,0.35903046,-0.438622401,0.366861414,-1.042559981,1
11/2/17,-0.021907246,-0.214459787,-0.004398771,0.07895638,0.016731704,0.045676945,-0.087510899,0.643373363,0.661589408,0.084560113,-1.07973992,1
11/3/17,0.212539977,0.71440803,-0.028336755,0.308900784,-0.611544469,-0.694729332,-0.883686374,-0.22308261,-0.820647027,-0.382229623,-1.188525667,1
11/6/17,0.092572458,0.212685647,-0.053303109,0.463152029,0.931986255,0.937664057,1.237222046,0.50666291,0.044250088,0.804188764,-1.152722763,1
11/7/17,-0.192850811,-0.013607826,-0.055226384,-0.023765946,-1.593418693,-0.456907887,-0.875379131,0.616150449,-0.373221561,-0.47277503,-1.085248059,1
11/8/17,0.090986454,0.263982303,-0.006324691,-0.085128032,0.242092546,0.588644616,0.288269972,0.368033713,0.144701321,0.333477061,-1.100395442,1
11/9/17,-0.403975578,-0.483359101,0.019140246,0.106946378,-0.3251387,0.273353232,-0.135490795,0.059255539,0.796698257,-0.458079188,-1.001248938,1
11/10/17,-0.100265598,-0.066022592,0.224728729,-0.095395953,-0.243572695,-1.023154842,-0.38229712,0.059166768,0.393860009,-0.320609325,-0.892463192,1
11/13/17,0.034748458,0.038874807,-0.004801147,0.019569173,0.956538411,0.344410441,0.561575256,0.374539395,0.044086867,-0.165425128,-0.863545462,1
11/14/17,-0.258672092,-0.354129038,-0.077450894,-0.258248421,-1.215291526,0.289692844,-0.114241215,-0.190593824,2.187681055,-0.495190751,-0.851152149,0
11/15/17,-0.532273921,-0.439321291,-0.080900578,-0.082566286,-0.257129292,-0.410835903,-0.080594193,-0.820015653,-0.10418075,-0.387925674,-0.639088795,1
11/16/17,0.757674242,0.969280776,0.071013266,-0.035715547,-0.162201823,0.022752668,0.291988522,0.629751264,-0.334441242,1.499328599,-0.827742558,1
11/17/17,-0.176765365,-0.368504329,-0.082719502,0.387782713,0.449422503,1.381244945,0.710083743,-0.367358872,0.340279793,0.34880891,-0.873184705,1
11/20/17,0.123379082,-0.123606307,0.045566125,-0.104345739,0.613545108,-1.610582022,-1.290627503,-0.257150278,-0.926443542,0.362527625,-0.980593417,1
11/21/17,0.581904614,0.814263995,-0.007038661,0.20705169,0.832999361,0.474140178,0.177858131,0.563775446,0.093464961,0.961115704,-1.107280615,1
11/22/17,-0.110974394,0.037708452,-0.060137388,0.320157403,0.192191723,0.783755702,0.604612598,-0.200506077,1.398236532,0.173428854,-1.086625094,1
